run_id,band_keep,band_add,sector_tol,exit_cap_frac,ls_turnover_budget,micro_add_frac,overlay_band,train_mean,train_drawdown,train_turnover,train_alpha,train_alpha_t,train_sharpe,constraints_pass,oos_mean,oos_drawdown,oos_turnover,oos_alpha,oos_alpha_t,oos_sharpe
run_11,0.8188246595428254,0.9243131034839659,0.08361491821478677,0.052296613613118256,0.2530098918769341,0.02538255008138623,0.10442327483412221,0.009791169937353522,-0.05395300364468103,0.3317047861192029,0.00899871550200059,4.301860672917868,1.6495330713374168,True,,,,,,
run_12,0.8351801210615631,0.9022670251339323,0.08292475903631771,0.06331709904970034,0.32062726364763106,0.021505407135855074,0.11688779980056861,0.010464282396119403,-0.04070925210926746,0.3501436165654889,0.009872465666300253,5.143158590229343,1.6592536495714383,True,,,,,,
run_13,0.7937194696424862,0.9362549429152152,0.09547073062504507,0.07352160313301039,0.25775623536136094,0.01760606531789681,0.11824928676683052,0.009083081279377247,-0.06496955025127693,0.3142008083426956,0.008419410318509651,4.126734650762355,1.4991875429035282,True,,,,,,
run_14,0.7879539701226947,0.9466506936547279,0.09457050957053378,0.07841066779789771,0.26311206235488793,0.016005863056476298,0.11992253819316247,0.007844790425674977,-0.05766267873819253,0.3134285792710565,0.007389720396846475,3.8463184048238364,1.2540870337513275,True,,,,,,
run_15,0.8007514324373862,0.9278214048772228,0.08549268609012581,0.07090232842408023,0.25902759848871787,0.02977793875970668,0.09274805551414457,0.00923993132217189,-0.0624541607684842,0.32106924746262655,0.008537885984642777,4.103425467497445,1.5633127010972445,True,,,,,,
run_16,0.7909870620211819,0.9316445978662931,0.0856241822510417,0.07439600507103973,0.30869741592544947,0.027474328276570373,0.11903960320669217,0.009134898427252978,-0.051539729632481324,0.317653480976045,0.008347949134290426,3.983053451410775,1.5440522613070005,True,,,,,,
run_17,0.8192768873208957,0.9348079073741873,0.09895668415557679,0.05349809383499079,0.28075352946926885,0.033628205286955766,0.10302334119778467,0.009778925051828596,-0.0629026614861713,0.32820338058942183,0.009054219683718393,4.437277527643193,1.63627862762523,True,,,,,,
run_18,0.804690150944608,0.9381168277990403,0.10775339115708898,0.05185898468403004,0.264145808575412,0.02932902512253611,0.10874852802333852,0.009391975868417082,-0.05547624248526706,0.3190863690784337,0.008692194476191312,4.290036177768889,1.574799444960184,True,,,,,,
run_19,0.7807059870490617,0.9177577415416825,0.09434220854783039,0.05666292970229176,0.2625418165851177,0.03325210996711118,0.12361167416937252,0.009981412590723627,-0.04016151036567672,0.3096904423564582,0.009434760462351255,4.842931307120519,1.6521636520060186,True,,,,,,
run_20,0.8236042923803581,0.9017566122421216,0.0878885430676641,0.051302480281526,0.27343758927100015,0.02346916079517536,0.09521293451175117,0.010072911895109345,-0.0607435839712307,0.33750876079285774,0.009629518205836296,5.297961108341872,1.618652880775356,True,,,,,,
