month_end,trade_date,cohort_id,book,ticker,side,action,w_delta,px_ref_open,shares,est_notional,rationale
2019-11-29,2019-12-02,1,LS,PRIO3,L,SELL,-0.0009464062715779653,4.692463036,-91,-427.01413627600004,reweight
2019-11-29,2019-12-02,1,LS,PSSA3,S,CLOSE,0.046621871077658666,22.43326266,935,20975.1005871,exit
2019-11-29,2019-12-02,1,LS,QUAL3,L,OPEN,0.03732768635865646,32.7069638,514,16811.379393199997,add
2019-11-29,2019-12-02,1,LS,RADL3,S,CLOSE,0.046621871077658666,20.55621926,1021,20987.89986446,exit
2019-11-29,2019-12-02,1,LS,RAPT4,L,SELL,-0.0009464062715779653,8.323038134,-51,-424.47494483400004,reweight
2019-11-29,2019-12-02,1,LS,SIMH3,L,SELL,-0.0009464062715779653,4.714614213,-90,-424.31527917,reweight
2019-11-29,2019-12-02,1,LS,SMLS3,S,BUY,0.009294184719002202,26.61671455,157,4178.82418435,reweight
2019-11-29,2019-12-02,1,LS,SMTO3,S,BUY,0.009294184719002202,16.28866985,257,4186.18815145,reweight
2019-11-29,2019-12-02,1,LS,SRNA3,L,OPEN,0.03732768635865646,16.31371679,1030,16803.1282937,add
2019-11-29,2019-12-02,1,LS,UGPA3,S,BUY,0.009294184719002202,18.52181982,226,4185.931279320001,reweight
2019-11-29,2019-12-02,1,LS,VLID3,S,OPEN,-0.037327686358656464,10.03479041,-1674,-16798.239146339998,add
2019-11-29,2019-12-02,2,LS,ALPA4,L,BUY,0.000341614865566036,31.27366316,5,156.3683158,keep
2019-11-29,2019-12-02,2,LS,AMAR3,L,BUY,0.000341614865566036,46.63008778,3,139.89026334,keep
2019-11-29,2019-12-02,2,LS,BPAC11,L,BUY,0.000341614865566036,15.29535409,10,152.9535409,keep
2019-11-29,2019-12-02,2,LS,BPAN4,L,BUY,0.000341614865566036,7.638065008,20,152.76130016,keep
2019-11-29,2019-12-02,2,LS,BRAP4,S,BUY,1.0679467105187412e-05,7.157676037,1,7.157676037,reweight
2019-11-29,2019-12-02,2,LS,CIEL3,S,BUY,1.0679467105187412e-05,6.193988862,1,6.193988862,reweight
2019-11-29,2019-12-02,2,LS,CPLE6,L,BUY,0.000341614865566036,3.744386445,41,153.519844245,keep
2019-11-29,2019-12-02,2,LS,CSNA3,L,BUY,0.000341614865566036,7.617227639,20,152.34455278000001,keep
2019-11-29,2019-12-02,2,LS,ELET3,L,BUY,0.000341614865566036,27.74725169,6,166.48351014,keep
2019-11-29,2019-12-02,2,LS,GOLL54,L,BUY,0.000341614865566036,0.442107849,348,153.853531452,keep
2019-11-29,2019-12-02,2,LS,GRND3,S,BUY,1.0679467105187412e-05,6.784773632,1,6.784773632,reweight
2019-11-29,2019-12-02,2,LS,HGTX3,L,BUY,0.000341614865566036,31.00438668,5,155.0219334,keep
2019-11-29,2019-12-02,2,LS,JBSS3,L,BUY,0.000341614865566036,19.60461467,8,156.83691736,keep
2019-11-29,2019-12-02,2,LS,LAME3,S,BUY,1.0679467105187412e-05,6.498253943,1,6.498253943,reweight
2019-11-29,2019-12-02,2,LS,LOGN3,L,BUY,0.000341614865566036,17.2,9,154.79999999999998,keep
2019-11-29,2019-12-02,2,LS,LPSB3,L,BUY,0.000341614865566036,7.522191391,20,150.44382782,keep
2019-11-29,2019-12-02,2,LS,MILS3,L,BUY,0.000341614865566036,6.005478236,26,156.142434136,keep
2019-11-29,2019-12-02,2,LS,MOVI3,L,BUY,0.000341614865566036,13.70704928,11,150.77754208,keep
2019-11-29,2019-12-02,2,LS,NATU3,L,BUY,0.000341614865566036,31.7298007,5,158.6490035,keep
2019-11-29,2019-12-02,2,LS,PRIO3,L,BUY,0.000341614865566036,4.692463036,33,154.851280188,keep
2019-11-29,2019-12-02,2,LS,RAPT4,L,BUY,0.000341614865566036,8.323038134,18,149.81468641200001,keep
2019-11-29,2019-12-02,2,LS,SBSP3,L,BUY,0.000341614865566036,50.03626223,3,150.10878669,keep
2019-11-29,2019-12-02,2,LS,SIMH3,L,BUY,0.000341614865566036,4.714614213,33,155.582269029,keep
2019-11-29,2019-12-02,2,LS,VLID3,S,SELL,-0.006661553919437553,10.03479041,-299,-3000.40233259,reweight
