month_end,trade_date,sleeve,book,ticker,side,action,w_delta,px_ref_open,shares,est_notional
2019-11-29,2019-12-02,momentum,LS,UNIP6,L,BUY,0.0039812692856329,13.94964215,214,2985.2234201
2019-11-29,2019-12-02,momentum,LS,VLID3,S,SELL,-0.0110627362634347,10.03479041,-827,-8298.77166907
2019-11-29,2019-12-02,value,D10,AMAR3,L,BUY,0.020833333333333332,46.63008778,335,15621.0794063
2019-11-29,2019-12-02,value,D10,BEEF3,L,BUY,0.020833333333333332,10.4828232,1491,15629.8893912
2019-11-29,2019-12-02,value,D10,BRAP4,L,BUY,0.020833333333333332,7.157676037,2183,15625.206788771
2019-11-29,2019-12-02,value,D10,BRML3,L,BUY,0.013888888888888888,15.53176022,671,10421.81110762
2019-11-29,2019-12-02,value,D10,CIEL3,L,BUY,0.020833333333333332,6.193988862,2523,15627.433898826
2019-11-29,2019-12-02,value,D10,ELET3,L,BUY,0.020833333333333332,27.74725169,563,15621.70270147
2019-11-29,2019-12-02,value,D10,ENAT3,L,BUY,0.020833333333333332,11.04279282,1415,15625.5518403
2019-11-29,2019-12-02,value,D10,FESA4,L,BUY,0.020833333333333332,3.537181069,4417,15623.728781773
2019-11-29,2019-12-02,value,D10,GOLL54,L,BUY,0.013888888888888888,0.442107849,23561,10416.503030288999
2019-11-29,2019-12-02,value,D10,GUAR3,L,BUY,0.020833333333333332,17.70846053,882,15618.86218746
2019-11-29,2019-12-02,value,D10,MYPK3,L,BUY,0.013888888888888888,14.81303576,703,10413.56413928
2019-11-29,2019-12-02,value,D10,PETR4,L,BUY,0.006944444444444444,8.274422156,629,5204.611536124
2019-11-29,2019-12-02,value,D10,RLOG3,L,BUY,0.006944444444444444,21.48,242,5198.16
2019-11-29,2019-12-02,value,D10,SAPR11,L,BUY,0.013888888888888888,21.63368356,482,10427.435475920001
2019-11-29,2019-12-02,value,D10,SIMH3,L,BUY,0.013888888888888888,4.714614213,2209,10414.582796517
