month_end,trade_date,sleeve,cohort_id,book,ticker,side,action,w_delta,px_ref_open,shares,est_notional,rationale
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,0,LS,SBSP3,L,BUY,0.0042834226442037,16.86476639,190,3204.3056141,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,0,LS,TCSA3,L,BUY,0.0042834226442037,73.49865244,44,3233.94070736,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,0,LS,TIMS3,L,BUY,0.0042834226442037,6.909140387,465,3212.750279955,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,0,LS,TOTS3,S,SELL,-0.0041265673889351,9.076832513,-341,-3095.199886933,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,0,LS,VALE3,L,BUY,0.0042834226442037,17.83409414,180,3210.1369452000004,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,AEDU3,S,SELL,-0.0034933751028398,7.272743485,-360,-2618.1876546000003,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,AEDU3,S,SELL,-0.00665758843742479,7.272743485,-687,-4996.374774195,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,ALOS3,L,BUY,0.00479072821107155,21.23308953,169,3588.39213057,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,AMER3,S,SELL,-0.0034933751028398,704.2821237,-4,-2817.1284948,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,AMER3,L,BUY,0.00479072821107155,704.2821237,5,3521.4106185,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,BPAN4,L,OPEN,0.0364637326783333,5.487337765,4984,27348.891420760003,add
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,BRAP4,L,BUY,0.00479072821107155,4.674975647,769,3595.056272543,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,BRPR3,L,CLOSE,-0.04997930212764221,109.3658923,-343,-37512.5010589,exit
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,BRSR6,L,BUY,0.0072591998249535,7.492200421,727,5446.829706067,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,CIEL3,L,BUY,0.00479072821107155,7.125697673,504,3591.3516271920003,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,CNFB4,L,BUY,0.0072591998249535,5.81,937,5443.969999999999,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,CPFE3,S,SELL,-0.00665758843742479,12.47748984,-400,-4990.995936,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,CPLE6,L,BUY,0.00479072821107155,1.715944255,2094,3593.1872699699998,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,CRUZ3,L,BUY,0.0072591998249535,24.0997287,226,5446.5386862,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,CSAN3,L,BUY,0.00479072821107155,5.273745822,681,3591.4209047820004,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,CSMG3,L,BUY,0.00479072821107155,5.889962128,610,3592.8768980799996,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,CTIP3,L,CLOSE,-0.0386851033497464,24.96539077,-1162,-29009.78407474,exit
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,DXCO3,L,BUY,0.00479072821107155,5.009062606,717,3591.4978885019996,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,ELET3,S,SELL,-0.0034933751028398,10.628901,-247,-2625.3385470000003,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,ENAT3,S,SELL,-0.00665758843742479,7.273205913,-687,-4996.692462231,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,ENEV3,L,BUY,0.0072591998249535,175.6648475,31,5445.6102725,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,EQTL3,L,BUY,0.00479072821107155,2.147852535,1673,3593.357291055,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,EZTC3,L,BUY,0.0072591998249535,9.147349257,595,5442.672807915,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,FLRY3,S,SELL,-0.00665758843742479,6.596315463,-757,-4993.410805491,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,GFSA3,S,SELL,-0.0034933751028398,3536.726005,-1,-3536.726005,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,GOLL54,S,SELL,-0.0034933751028398,0.158638699,-16516,-2620.076752684,reweight
