month_end,trade_date,cohort_id,sleeve,book,ticker,side,action,w_delta,px_ref_open,shares,est_notional,rationale
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,IRBR3,L,CLOSE,-0.0300200996305218,49.43,-455,-22490.65,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,JALL3,S,BUY,0.0064809931913076,2.75,1768,4862.0,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,JALL3,L,OPEN,0.024689046077093046,2.75,6733,18515.75,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,JBSS32,S,BUY,0.00045897925469653295,71.58,5,357.9,keep
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,JHSF3,L,SELL,-0.004162336166260487,6.6,-473,-3121.7999999999997,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,KLBN11,S,CLOSE,0.0284905429238037,18.15,1177,21362.55,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,KLBN11,S,BUY,0.00045897925469653295,18.15,19,344.84999999999997,keep
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,LIGT3,L,CLOSE,-0.0300200996305218,5.75,-3916,-22517.0,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,LIGT3,L,SELL,-0.004162336166260487,5.75,-543,-3122.25,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,LJQQ3,L,SELL,-0.004162336166260487,2.12,-1473,-3122.76,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,LWSA3,S,BUY,0.0064809931913076,3.92,1240,4860.8,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,MBRF3,L,BUY,0.0031627332983539,18.1,131,2371.1000000000004,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,MDIA3,S,OPEN,-0.028392402988656976,29.5,-722,-21299.0,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,MGLU3,L,CLOSE,-0.028851382243353534,8.49,-2549,-21641.010000000002,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,MULT3,S,OPEN,-0.028392402988656976,27.69,-769,-21293.61,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,MYPK3,L,OPEN,0.0256778080212453,10.95,1759,19261.05,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,MYPK3,L,SELL,-0.004162336166260487,10.95,-285,-3120.75,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,NATU3,S,OPEN,-0.022009549732496,9.09,-1816,-16507.44,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,NATU3,S,CLOSE,0.02885138224335351,9.09,2380,21634.2,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,NEOE3,L,SELL,-0.0043422916092764,29.0,-112,-3248.0,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,ONCO3,S,OPEN,-0.022009549732496,2.2,-7503,-16506.600000000002,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,ORVR3,S,BUY,0.00045897925469653295,55.92,6,335.52,keep
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,PETR4,L,CLOSE,-0.0300200996305218,29.88,-754,-22529.52,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,PGMN3,L,SELL,-0.004162336166260487,3.89,-803,-3123.67,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,PINE4,L,OPEN,0.0256778080212453,9.36,2058,19262.88,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,POSI3,L,SELL,-0.004162336166260487,4.1,-761,-3120.1,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,PSSA3,L,SELL,-0.0043422916092764,48.59,-67,-3255.53,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,QUAL3,L,SELL,-0.004162336166260487,2.71,-1152,-3121.92,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,RADL3,S,OPEN,-0.022009549732496,20.43,-808,-16507.44,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,RAIZ4,S,BUY,0.0064809931913076,0.95,5117,4861.15,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,RAIZ4,L,SELL,-0.004162336166260487,0.95,-3286,-3121.7,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,RANI3,L,OPEN,0.0256778080212453,8.92,2159,19258.28,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,RANI3,L,OPEN,0.024689046077093046,8.92,2076,18517.92,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,RDOR3,S,OPEN,-0.028392402988656976,43.75,-487,-21306.25,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,RECV3,L,SELL,-0.004162336166260487,12.44,-251,-3122.44,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,SEER3,L,CLOSE,-0.0300200996305218,10.25,-2197,-22519.25,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,SEER3,L,SELL,-0.004162336166260487,10.25,-305,-3126.25,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,SLCE3,L,OPEN,0.024689046077093046,16.17,1145,18514.65,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,SOJA3,S,BUY,0.00045897925469653295,10.5,33,346.5,keep
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,SRNA3,L,BUY,0.0126255907905836,12.55,755,9475.25,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,SYNE3,L,OPEN,0.0256778080212453,4.99,3859,19256.41,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,TFCO4,L,OPEN,0.0256778080212453,18.25,1055,19253.75,add
