month_end,trade_date,book,ticker,side,action,w_delta,px_ref_open,shares,est_notional
2023-12-28,2024-01-02,LS,RECV3,S,SELL,-0.00574712643678161,17.61342929,-300,-5284.028786999999
2023-12-28,2024-01-02,LS,SEQL3,S,BUY,0.0014992503748125924,9.8,150,1470.0
2023-12-28,2024-01-02,LS,SLCE3,,SELL,-0.007246376811594203,17.53044246,-400,-7012.176984
2023-12-28,2024-01-02,LS,SOJA3,L,BUY,0.008076702755341697,15.57553961,500,7787.769805
2023-12-28,2024-01-02,LS,SRNA3,S,SELL,-0.005747126436781609,10.21,-550,-5615.500000000001
2023-12-28,2024-01-02,LS,TAEE11,,BUY,0.007575757575757576,32.70787551,200,6541.575102
2023-12-28,2024-01-02,LS,TASA4,L,BUY,0.007575757575757576,13.16470789,550,7240.5893395
2023-12-28,2024-01-02,LS,TEND3,L,BUY,0.008076702755341697,14.23094233,550,7827.0182815
2023-12-28,2024-01-02,LS,TOKY3,L,BUY,0.00032938076416337325,2.04,150,306.0
2023-12-28,2024-01-02,LS,TTEN3,L,BUY,0.0008303259437474944,11.75303661,50,587.6518305000001
2023-12-28,2024-01-02,LS,UNIP6,L,BUY,0.008076702755341697,58.31373581,100,5831.373581
2023-12-28,2024-01-02,LS,VAMO3,S,SELL,-0.005747126436781609,9.20766493,-600,-5524.598958
2023-12-28,2024-01-02,LS,VITT3,S,SELL,-0.005747126436781609,9.117744666,-600,-5470.6467996
2023-12-28,2024-01-02,LS,VLID3,L,BUY,0.008076702755341697,17.78557115,450,8003.507017499999
2023-12-28,2024-01-02,LS,VULC3,L,BUY,0.0008303259437474944,15.97394404,50,798.697202
2023-12-28,2024-01-02,LS,WIZC3,S,BUY,0.0014992503748125924,6.71493016,200,1342.986032
2023-12-28,2024-01-02,LS,YDUQ3,L,BUY,0.007246376811594203,21.14610784,300,6343.832351999999
2023-12-28,2024-01-02,LS,ZAMP3,,BUY,0.007575757575757576,5.657500219,1300,7354.7502847000005
