month_end,trade_date,next_trade_date,D10,LS,turnover_D10,turnover_LS,turnover_LS_reconst,turnover_LS_reweight,ls_gross_long,ls_gross_short,risk_ls_weighted_multiplier,risk_ls_weighted_score,risk_ls_flagged,risk_ls_high,risk_d10_weighted_multiplier,risk_d10_weighted_score,risk_d10_flagged,risk_d10_high,risk_universe_flagged,risk_universe_high,risk_universe_avg_multiplier,dispersion,dispersion_gate_active,CDI,BOVA11,LS_pre_overlay,beta_est,hedge_ratio,vt_scale,LS_vt,LS_pre_vt,LS_carry,LS_borrow_cost,LS_financing_net,LS_net
2017-04-28,2017-05-02,2017-06-01,0.0465894917775213,0.03321420311816854,0.196078431372549,0.1647143857814173,0.08746286393345215,0.07725152184796517,0.5,0.5000000000000001,0.9879233511586453,0.04830659536541892,2.0,0.0,0.9891456582633052,0.04341736694677868,1.0,0.0,2.0,0.0,0.9953703703703703,2.1633544775884332,1,0.009219711362202343,-0.04034037188780337,0.05369546988894577,-0.2831820909654985,0.2831820909654985,0.78572958526356,0.03321420311816854,0.04227179902743179,0.0036220999924364903,0.002527703904953127,0.0010943960874833635,0.03430859920565191
2017-05-31,2017-06-01,2017-07-03,-0.012234433823712676,-0.010940577263533436,0.0,0.0806892453951279,0.031729055258467025,0.048960190136660864,0.49999999999999994,0.5000000000000001,0.9930035650623886,0.027985739750445656,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9977477477477478,2.1783291366011364,1,0.008080987710124887,0.0064039408866995995,-0.016184289764689646,-0.35119872799891994,0.35119872799891994,0.7851018048733656,-0.010940577263533436,-0.013935233871100471,0.003172199018189268,0.002525684325986637,0.0006465146922026311,-0.010294062571330805
2017-06-30,2017-07-03,2017-08-01,0.07150998782555228,0.025055388570534756,0.08888888888888895,0.06490764137822964,0.02380952380952381,0.041098117568705836,0.5,0.49999999999999994,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.9954954954954955,2.150307763504019,1,0.00793505064361355,0.04454233969652477,0.016596344552360306,-0.3522685545051336,0.3522685545051336,0.7760159034312167,0.025055388570534756,0.032287210171531716,0.003078862746988113,0.002496454844258981,0.0005824079027291324,0.025637796473263887
2017-07-31,2017-08-01,2017-09-01,0.056600683883058056,0.008599314184807133,0.13333333333333336,0.1399267399267399,0.06996336996336996,0.06996336996336992,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9977272727272727,2.0899483198817617,1,0.00801452050194662,0.07747578881599515,-0.009672208120946909,-0.2673363449564265,0.2673363449564265,0.7789314237104966,0.008599314184807133,0.011039886083737223,0.0031213809324691223,0.0025058341168905877,0.0006155468155785346,0.009214861000385668
2017-08-31,2017-09-01,2017-10-02,0.038876484949816124,0.003025757888966015,0.04444444444444445,0.0630119914850829,0.03412698412698414,0.028885007358098763,0.5,0.5,0.9924384647476013,0.030246141009595346,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9977876106194691,2.0625634439439295,1,0.006340428944008547,0.037982023775007034,-0.003910783311985901,-0.20507932368837128,0.20507932368837128,0.7801271685318447,0.003025757888966015,0.00387854443610818,0.002473170439683371,0.002509680845982805,-3.651040629943378e-05,0.002989247482666581
2017-09-29,2017-10-02,2017-11-01,-0.013061749907981963,-0.007946805901971237,0.13333333333333333,0.2540266106442577,0.17691198819953513,0.07711462244472256,0.49999999999999994,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9550584072346704,1,0.006403700615894792,0.01131284916201114,-0.012446228108954245,-0.2029181767298015,0.2029181767298015,0.7828867625484252,-0.007946805901971237,-0.010150645383379682,0.0025066862217536148,0.0025185585014798366,-1.1872279726221797e-05,-0.00795867818169746
2017-10-31,2017-11-01,2017-12-01,-0.06109071123648458,-0.015060464217658127,0.1333333333333334,0.21944444444444444,0.13353174603174603,0.08591269841269843,0.49999999999999994,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0023330976385467,1,0.005674522127418591,-0.05040740229250096,-0.009770091521476442,-0.1878717905468993,0.1878717905468993,0.7827594418242227,-0.015060464217658127,-0.01924022044698647,0.0022208928865386887,0.0025181489087932637,-0.000297256022254575,-0.015357720239912703
2017-11-30,2017-12-01,2018-01-02,0.09789482927115056,0.034628884367953916,0.26666666666666666,0.3435224089635854,0.24223484848484844,0.10128756047873695,0.5,0.5,0.9950980392156864,0.019607843137254912,1.0,0.0,0.9884920634920634,0.046031746031746,1.0,0.0,1.0,0.0,0.9979838709677419,2.0055344195667337,1,0.005357961454301119,0.07620709714950546,0.029959462739930703,-0.09220289253973352,0.1878717905468993,0.7821030434991882,0.034628884367953916,0.0442766265337898,0.002095238980180121,0.00251603726549955,-0.0004207982853194291,0.03420808608263449
2017-12-28,2018-01-02,2018-02-01,0.0683602568648234,0.02679253073372377,0.13333333333333333,0.1588468720821663,0.11413884742397233,0.044708024658193984,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.998,2.020961103369811,1,0.005833860500798371,0.10837837837837827,0.013867231786527573,0.0178945229499951,0.1878717905468993,0.7827556806757741,0.02679253073372377,0.034228471789042855,0.0022832437236349704,0.0025181368091220803,-0.00023489308548710992,0.02655763764823666
2018-01-31,2018-02-01,2018-03-01,-0.011866574489584137,-0.006706664924101019,0.1428571428571429,0.09080493820527674,0.05644841269841269,0.03435652550686405,0.49999999999999994,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.034219310014686,1,0.0046399365258855685,0.00585223116313105,-0.009659302679259739,0.03941102024805169,0.1878717905468993,0.7835041299658074,-0.006706664924101019,-0.008559833531947945,0.0018177047154052718,0.002520544581756023,-0.0007028398663507514,-0.007409504790451771
2018-02-28,2018-03-01,2018-04-02,-0.014747046468169519,0.013738862485840466,0.19607843137254913,0.27343604108309993,0.1938608776844071,0.0795751633986928,0.5000000000000002,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.998046875,2.0891050971993685,1,0.00530620535449855,-0.00242424242424244,0.01748383543514996,0.05099486245837728,0.1878717905468993,0.8068210534736968,0.013738862485840466,0.01702838867018778,0.0021405790970321454,0.0025955554757172267,-0.0004549763786850813,0.013283886107155385
2018-03-29,2018-04-02,2018-05-02,-0.013146358445004726,-0.0305031004197127,0.18518518518518526,0.23975166989872887,0.18031539538892483,0.05943627450980402,0.5,0.5000000000000001,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.065735234771573,1,0.0051751262827499644,0.0015795868772783273,-0.03797224801273094,0.025554075305135322,0.1878717905468993,0.809627210657255,-0.0305031004197127,-0.03767548819777228,0.0020949615285509515,0.002604582925623435,-0.0005096213970724834,-0.031012721816785185
2018-04-30,2018-05-02,2018-06-01,-0.0741368559140901,-0.012367024269542976,0.19607843137254918,0.2132935968429489,0.13691069648198262,0.0763829003609663,0.5,0.5000000000000002,0.9934899845916796,0.026040061633282024,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.99609375,2.0762336022834202,1,0.00517512915838636,-0.093169962392333,0.002279103704869527,0.0682127069264621,0.1878717905468993,0.8122891484980227,-0.012367024269542976,-0.015224903954965343,0.0021018506287164736,0.0026131464197326638,-0.0005112957910161902,-0.012878320060559166
2018-05-30,2018-06-01,2018-07-02,-0.05523259676284501,-0.0001665730903302308,0.11111111111111116,0.2267933573018318,0.15488679164526623,0.07190656565656559,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0581275398737975,1,0.005175127953596537,-0.06903010033444812,0.01276390033476027,0.011897396990822054,0.1878717905468993,0.8129156214870511,-0.0001665730903302308,-0.0002049082167046093,0.0021034711783364697,0.002615161792769919,-0.0005116906144334494,-0.0006782637047636803
2018-06-29,2018-07-02,2018-08-01,0.03439264415484322,-0.011435964754094786,0.07407407407407406,0.12331154684095864,0.07145969498910677,0.05185185185185187,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.99609375,2.0747992639778308,1,0.005422231405763034,0.09225463428653535,-0.03141490161438265,-0.013939823091314245,0.1878717905468993,0.8120485573941587,-0.011435964754094786,-0.014082858284721889,0.0022015575954535864,0.002612372434529433,-0.00041081483907584636,-0.011846779593170632
2018-07-31,2018-08-01,2018-09-03,-0.020158127408730353,-0.007612190526100326,0.11267605633802828,0.16722802264109818,0.09043753260302555,0.07679049003807265,0.49999999999999994,0.49999999999999994,0.9945080933361362,0.0219676266554551,1.0,0.0,0.9872196139801774,0.05112154407929061,1.0,0.0,4.0,0.0,0.992,2.0722802527809643,1,0.005669392098232251,-0.030916984607288645,-0.0034869737922087036,-0.0668137145310984,0.1878717905468993,0.8189198990324941,-0.007612190526100326,-0.009295403048690944,0.002321389002329987,0.0026344776440280176,-0.00031308864169803064,-0.007925279167798357
2018-08-31,2018-09-03,2018-10-01,-0.016776417978706288,0.013738060511385814,0.07407407407407406,0.16542113376778092,0.10197535405912533,0.06344577970865557,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.998015873015873,2.0725260113779673,1,0.0046814831535106904,0.04194949769209888,0.008746611700386708,-0.06518100143825067,0.1878717905468993,0.82621338700164,0.013738060511385814,0.016627738944344342,0.0019339520262265932,0.0026579409046282344,-0.0007239888784016412,0.013014071632984172
